identifier,sent,status,msgType,senderName,event,responseType,urgency,severity,certainty,headline,description,instruction,areaDesc,date,time,description_clean,prediction,true_num,pred_num,error
NWS-130404-681278,2013-12-25T20:05:46.000Z,Actual,Alert,NWS Springfield MO,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued December 25 at 2:05PM CST by NWS Springfield MO,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
WED DEC 25  LOW         2  *   L    L    L    L    L    L    L    L  
THU DEC 26  MODERATE    3  *   L    L    L    L    L    M    L    M  
FRI DEC 27  MODERATE    3  *   L    L    L    L    L    M    L    L  
SAT DEC 28  MODERATE    6  *   L    L    L    L    M    M    M    L  
SUN DEC 29  MODERATE    4  *   L    L    M    M    M    M    L    L  
MON DEC 30  LOW         1  *   L    L    L    L    L    L    L    L",,Lawrence,2013-12-25,20:05:46,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm wed dec 25 low 2 * l l l l l l l l thu dec 26 moderate 3 * l l l l l m l m fri dec 27 moderate 3 * l l l l l m l l sat dec 28 moderate 6 * l l l l m m m l sun dec 29 moderate 4 * l l m m m m l l mon dec 30 low 1 * l l l l l l l l,Severe,2,3,1
NWS-IDP-PROD-4253625,2020-06-04T21:21:00.000Z,Actual,Alert,NWS Cheyenne WY,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued June 4 at 3:21PM MDT by NWS Cheyenne WY,"At 320 PM MDT, Doppler radar was tracking a strong thunderstorm near
Box Butte Dam, or 22 miles southwest of Hay Springs, moving east at
45 mph.

Penny size hail and wind gusts up to 50 mph will be possible with
this storm.

Locations impacted include...
Box Butte Campground and Box Butte Dam.","Torrential rainfall is also occurring with this storm, and may lead
to localized flooding. Do not drive your vehicle through flooded
roadways.

This storm may intensify, so be certain to monitor local radio
stations and available television stations for additional information
and possible warnings from the National Weather Service.",Dawes; Box Butte,2020-06-04,21:21:00,"at 320 pm mdt, doppler radar was tracking a strong thunderstorm near box butte dam, or 22 miles southwest of hay springs, moving east at 45 mph. penny size hail and wind gusts up to 50 mph will be possible with this storm. locations impacted include... box butte campground and box butte dam.",Severe,2,3,1
NWS-130404-683048,2013-12-27T09:12:20.000Z,Actual,Alert,NWS Springfield MO,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued December 27 at 3:12AM CST by NWS Springfield MO,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
FRI DEC 27  MODERATE    3  *   L    L    L    L    L    M    L    L  
SAT DEC 28  MODERATE    6  *   L    L    L    M    M    M    M    L  
SUN DEC 29  MODERATE    6  *   L    L    M    M    M    M    M    L  
MON DEC 30  LOW         2  *   L    L    L    L    L    L    L    L  
TUE DEC 31  LOW         2  *   L    L    L    L    L    L    L    L  
WED JAN 01  LOW         1  *   L    L    L    L    L    L    L    L",,St. Clair,2013-12-27,09:12:20,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm fri dec 27 moderate 3 * l l l l l m l l sat dec 28 moderate 6 * l l l m m m m l sun dec 29 moderate 6 * l l m m m m m l mon dec 30 low 2 * l l l l l l l l tue dec 31 low 2 * l l l l l l l l wed jan 01 low 1 * l l l l l l l l,Minor,2,1,-1
NWS-IDP-PROD-4256253,2020-06-05T20:12:00.000Z,Actual,Alert,NWS Albany NY,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued June 5 at 4:12PM EDT by NWS Albany NY,"At 412 PM EDT, a strong thunderstorm was located over Delmar, moving
southeast at 15 mph.

Winds in excess of 40 mph and penny size hail are possible with this
storm.

This storm will be near...
Rensselaer around 415 PM EDT.
Ravena and Selkirk around 420 PM EDT.
East Greenbush around 425 PM EDT.
Castleton-On-Hudson around 430 PM EDT.
Nassau and Valatie around 455 PM EDT.

Other locations impacted by this storm include Bleecker Stadium,
Brookview, Van Hoesen Station, Jacks Corners, Spawn Hollow, Beckers
Corners, Karlsfeld, Millers Corners, Riders Mills and South Schodack.
This includes the following highways...
Interstate 90 between exits 10 and 2.
Interstate 87 between exits 21A and 23.
Interstate 787 between exits 1 and 5.",,Eastern Rensselaer; Western Columbia; Eastern Albany; Eastern Columbia; Western Rensselaer,2020-06-05,20:12:00,"at 412 pm edt, a strong thunderstorm was located over delmar, moving southeast at 15 mph. winds in excess of 40 mph and penny size hail are possible with this storm. this storm will be near... rensselaer around 415 pm edt. ravena and selkirk around 420 pm edt. east greenbush around 425 pm edt. castleton-on-hudson around 430 pm edt. nassau and valatie around 455 pm edt. other locations impacted by this storm include bleecker stadium, brookview, van hoesen station, jacks corners, spawn hollow, beckers corners, karlsfeld, millers corners, riders mills and south schodack. this includes the following highways... interstate 90 between exits 10 and 2. interstate 87 between exits 21a and 23. interstate 787 between exits 1 and 5.",Severe,2,3,1
NWS-IDP-PROD-4256137-3586876,2020-06-05T19:24:00.000Z,Actual,Alert,NWS Melbourne FL,Flood Advisory,['Avoid'],Expected,Minor,Likely,Flood Advisory issued June 5 at 3:24PM EDT until June 5 at 4:45PM EDT by NWS Melbourne FL,"The National Weather Service in Melbourne has issued a

* Flood Advisory for...
Western Martin County in east central Florida...

* Until 445 PM EDT.

* At 324 PM EDT, Doppler radar indicated heavy rain due to
thunderstorms. Minor flooding is ongoing or expected to begin
shortly in the advisory area. Between 1 and 2 inches of rain have
fallen.

Some locations that will experience flooding include...
Indiantown.","A Flood Advisory means river or stream flows are elevated, or
ponding of water in urban or other areas is occurring or is imminent.

Turn around, don't drown when encountering flooded roads. Most flood
deaths occur in vehicles.","Martin, FL",2020-06-05,19:24:00,"the national weather service in melbourne has issued a * flood advisory for... western martin county in east central florida... * until 445 pm edt. * at 324 pm edt, doppler radar indicated heavy rain due to thunderstorms. minor flooding is ongoing or expected to begin shortly in the advisory area. between 1 and 2 inches of rain have fallen. some locations that will experience flooding include... indiantown.",Severe,1,3,2
urn:oid:2.49.0.1.840.0.7c4e81177124fca7779a50d7e2c8357e2e00f610.001.1,2022-12-22T16:58:00.000Z,Actual,Update,NWS Los Angeles/Oxnard CA,Beach Hazards Statement,['Avoid'],Expected,Moderate,Likely,Beach Hazards Statement issued December 22 at 8:58AM PST until December 24 at 12:00PM PST by NWS Los Angeles/Oxnard CA,"* WHAT...Dangerous rip currents and breaking waves due to
elevated surf of 4 to 7 feet expected Friday, building to 5 to
8 feet. Abnormally high tides around 7 feet are expected each
morning between Friday and Saturday. Minor tidal overflow is
possible around the time of morning high tide.

* WHERE...San Luis Obispo County Beaches and Santa Barbara
County Central Coast Beaches.

* WHEN...From late tonight through Saturday morning.

* IMPACTS...Pooling of sea water is possible around high tide at
beach and harbor areas that is uncommon with normal tidal
ranges. Enhanced beach erosion is also possible. No
significant damage is expected. There is an increased risk of
ocean drowning due to increased rip current activity. Rip
currents can pull swimmers and surfers out to sea. Waves can
wash people off beaches and rocks, and capsize small boats
nearshore.

* ADDITIONAL DETAILS...Morning high tides of over 7 feet are
forecast for Friday and Saturday between 8 and 9 am local time.
","Avoid flooded walkways and beaches. Remain out of the water due
to hazardous swimming conditions, or stay near occupied lifeguard
towers, if available. Rock jetties can be deadly in such
conditions, stay off the rocks.",,2022-12-22,16:58:00,"* what...dangerous rip currents and breaking waves due to elevated surf of 4 to 7 feet expected friday, building to 5 to 8 feet. abnormally high tides around 7 feet are expected each morning between friday and saturday. minor tidal overflow is possible around the time of morning high tide. * where...san luis obispo county beaches and santa barbara county central coast beaches. * when...from late tonight through saturday morning. * impacts...pooling of sea water is possible around high tide at beach and harbor areas that is uncommon with normal tidal ranges. enhanced beach erosion is also possible. no significant damage is expected. there is an increased risk of ocean drowning due to increased rip current activity. rip currents can pull swimmers and surfers out to sea. waves can wash people off beaches and rocks, and capsize small boats nearshore. * additional details...morning high tides of over 7 feet are forecast for friday and saturday between 8 and 9 am local time.",Severe,2,3,1
NWS-130404-688430,2013-12-31T07:57:33.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued December 31 at 1:57AM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
TUE DEC 31  HIGH       11  *        L    L    L    H    H    M    L  
WED JAN 01  MODERATE    7  *   L    L    L    L    M    M    M    M  
THU JAN 02  LOW         1  *   L    L    L    L    L    L    L    L  
FRI JAN 03  HIGH       11  *   L    L    L    M    H    H    H    M  
SAT JAN 04  MODERATE    6  *   M    M    L    L    L    M    L    L  
SUN JAN 05  LOW         1  *   L    L    L    L    L    L    L    L",,McPherson,2013-12-31,07:57:33,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm tue dec 31 high 11 * l l l h h m l wed jan 01 moderate 7 * l l l l m m m m thu jan 02 low 1 * l l l l l l l l fri jan 03 high 11 * l l l m h h h m sat jan 04 moderate 6 * m m l l l m l l sun jan 05 low 1 * l l l l l l l l,Severe,2,3,1
NWS-IDP-PROD-4257342,2020-06-06T03:56:00.000Z,Actual,Alert,NWS Binghamton NY,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued June 5 at 11:56PM EDT by NWS Binghamton NY,"At 1156 PM EDT, Doppler radar was tracking a strong thunderstorm 9
miles northeast of Central Square, or 11 miles west of Camden, moving
northeast at 30 mph.

Half inch hail and strong wind gusts will be possible with this
storm.

Locations impacted include...
Camden, Florence, Ava, Point Rock and Glenmore.",,Northern Oneida,2020-06-06,03:56:00,"at 1156 pm edt, doppler radar was tracking a strong thunderstorm 9 miles northeast of central square, or 11 miles west of camden, moving northeast at 30 mph. half inch hail and strong wind gusts will be possible with this storm. locations impacted include... camden, florence, ava, point rock and glenmore.",Severe,2,3,1
NWS-IDP-PROD-4264985-3593084,2020-06-09T08:22:00.000Z,Actual,Alert,NWS Omaha/Valley NE,High Wind Warning,['Prepare'],Expected,Severe,Likely,High Wind Warning issued June 9 at 3:22AM CDT until June 10 at 4:00AM CDT by NWS Omaha/Valley NE,"* WHAT...North winds 20 to 30 mph with gusts up to 60 mph
expected.

* WHERE...Portions of east central, northeast and southeast
Nebraska.

* WHEN...From 3 PM this afternoon to 4 AM CDT Wednesday.

* IMPACTS...Damaging winds will blow down trees and power lines.
Widespread power outages are expected. Travel will be
difficult, especially for high profile vehicles.","People should avoid being outside in forested areas and around
trees and branches. If possible, remain in the lower levels of
your home during the windstorm, and avoid windows. Use caution if
you must drive.",Lancaster; Seward; Saunders; Platte; Boone; Madison; Saline; Cuming; Dodge; Stanton; Jefferson; Butler; Colfax,2020-06-09,08:22:00,"* what...north winds 20 to 30 mph with gusts up to 60 mph expected. * where...portions of east central, northeast and southeast nebraska. * when...from 3 pm this afternoon to 4 am cdt wednesday. * impacts...damaging winds will blow down trees and power lines. widespread power outages are expected. travel will be difficult, especially for high profile vehicles.",Severe,3,3,0
NWS-IDP-PROD-4264251-3592546,2020-06-09T01:03:00.000Z,Actual,Update,NWS North Platte NE,Tornado Warning,['Shelter'],Immediate,Extreme,Observed,Tornado Warning issued June 8 at 8:03PM CDT until June 8 at 8:30PM CDT by NWS North Platte NE,"At 802 PM CDT, a confirmed tornado was located near Arnold, or 22
miles east of Stapleton, moving northeast at 20 mph.

HAZARD...Damaging tornado and two inch hail.

SOURCE...Public confirmed tornado.

IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed. Damage
to roofs, windows, and vehicles will occur.  Tree damage is
likely.

This tornadic thunderstorm will remain over mainly rural areas of
west central Custer County, including the following locations...
Finchville, Pleasant Hill and Milldale.

This includes Highway 92 between mile markers 249 and 267.","To repeat, a tornado is on the ground. TAKE COVER NOW! Move to a
basement or an interior room on the lowest floor of a sturdy
building. Avoid windows. If you are outdoors, in a mobile home, or in
a vehicle, move to the closest substantial shelter and protect
yourself from flying debris.","Custer, NE",2020-06-09,01:03:00,"at 802 pm cdt, a confirmed tornado was located near arnold, or 22 miles east of stapleton, moving northeast at 20 mph. hazard...damaging tornado and two inch hail. source...public confirmed tornado. impact...flying debris will be dangerous to those caught without shelter. mobile homes will be damaged or destroyed. damage to roofs, windows, and vehicles will occur. tree damage is likely. this tornadic thunderstorm will remain over mainly rural areas of west central custer county, including the following locations... finchville, pleasant hill and milldale. this includes highway 92 between mile markers 249 and 267.",Severe,4,3,-1
